doc_id,file_path,title,source_url,retrieved_at,document_version,license_or_permission
shopee-buyer-return-refund,data/ecommerce/shopee-buyer-return-refund.md,Chính sách trả hàng và hoàn tiền dành cho Người Mua Shopee,https://help.shopee.vn/portal/4/article/77245,2026-09-20,not-stated,public-source
shopee-buyer-warranty-policy,data/ecommerce/shopee-buyer-warranty-policy.md,Chính sách bảo hành sản phẩm chính hãng dành cho Người Mua Shopee,https://help.shopee.vn/portal/4/article/77245,2026-09-20,not-stated,public-source
shopee-prohibited-items-policy,data/ecommerce/shopee-prohibited-items-policy.md,Danh sách hàng hóa cấm và hạn chế kinh doanh trên Shopee,https://help.shopee.vn/portal/4/article/77245,2026-09-20,not-stated,public-source
shopee-seller-dispute-resolution,data/ecommerce/shopee-seller-dispute-resolution.md,Quy định xử lý khiếu nại và trả hàng dành cho Người Bán Shopee,https://help.shopee.vn/portal/4/article/77245,2026-09-20,not-stated,public-source
shopee-seller-packaging-guidelines,data/ecommerce/shopee-seller-packaging-guidelines.md,Quy chuẩn đóng gói và bàn giao hàng hóa dành cho Người Bán Shopee,https://help.shopee.vn/portal/4/article/77245,2026-09-20,not-stated,public-source
shopee-shipping-damage-compensation,data/ecommerce/shopee-shipping-damage-compensation.md,Chính sách bồi thường hư hỏng và thất lạc hàng hóa vận chuyển Shopee,https://help.shopee.vn/portal/4/article/77245,2026-09-20,not-stated,public-source
