doc_id,file_path,title,source_url,retrieved_at,document_version,license_or_permission
dispute-resolution-policy,data/shopee/dispute-resolution-policy.md,Quy trình giải quyết tranh chấp và xử lý khiếu nại,https://help.shopee.vn/portal/4/article/77243?previousPage=other+articles,2026-09-18,not-stated,public-source
product-listing-policy,data/shopee/product-listing-policy.md,Quy định về đăng bán sản phẩm trên Shopee,https://help.shopee.vn/portal/4/article/77246?previousPage=other+articles,2026-09-18,not-stated,public-source
prohibited-restricted-products,data/shopee/prohibited-restricted-products.md,Chính sách cấm và hạn chế sản phẩm,https://help.shopee.vn/portal/4/article/77247?previousPage=other+articles,2026-09-18,not-stated,public-source
return-refund-policy,data/shopee/return-refund-policy.md,Chính sách đổi trả và hoàn tiền,https://help.shopee.vn/portal/4/article/77251?previousPage=other+articles,2026-09-18,not-stated,public-source
terms-of-service,data/shopee/terms-of-service.md,Điều khoản dịch vụ,https://help.shopee.vn/portal/4/article/77243?previousPage=other+articles,2026-09-18,not-stated,public-source
operating-regulations,data/shopee/operating-regulations.md,Quy chế hoạt động Sàn Thương mại Điện tử Shopee,https://help.shopee.vn/portal/4/article/77245?previousPage=other+articles,2026-09-18,not-stated,public-source
